"cell","compartment_call"
"H2_P4_M43_L001","NK"
"H3_P1_M43_L001","T_cell"
"H3_P2_M43_L001","T_cell"
"H3_P3_M43_L001","T_cell"
"H3_P4_M43_L001","T_cell"
"H4_P1_M43_L001","Myeloid"
"H4_P2_M43_L001","T_cell"
"H4_P3_M43_L001","Myeloid"
"H4_P4_M43_L001","T_cell"
"H5_P1_M43_L001","T_cell"
"H5_P2_M43_L001","B_cell"
"H5_P3_M43_L001","Myeloid"
"H5_P4_M43_L001","T_cell"
"H6_P1_M43_L001","T_cell"
"H6_P2_M43_L001","T_cell"
"H6_P3_M43_L001","T_cell"
"H6_P4_M43_L001","NK"
"H7_P1_M43_L001","NK"
"H7_P3_M43_L001","Myeloid"
"H7_P4_M43_L001","T_cell"
"H8_P1_M43_L001","T_cell"
"H8_P2_M43_L001","T_cell"
"H8_P3_M43_L001","T_cell"
"H8_P4_M43_L001","Myeloid"
"H9_P1_M43_L001","NK"
"H9_P2_M43_L001","B_cell"
"H9_P4_M43_L001","Myeloid"
"A10_P1_M9_L001","T_cell"
"A10_P2_M9_L001","Myeloid"
"A10_P3_M9_L001","T_cell"
"A10_P5_M9_L001","NK"
"A11_P1_M9_L001","NK"
"A11_P2_M9_L001","T_cell"
"A11_P3_M9_L001","T_cell"
"A11_P5_M9_L001","T_cell"
"A12_P1_M9_L001","T_cell"
"A2_P1_M9_L001","T_cell"
"A2_P3_M9_L001","T_cell"
"A3_P2_M9_L001","T_cell"
"A4_P1_M9_L001","NK"
"A4_P3_M9_L001","NK"
"A4_P5_M9_L001","T_cell"
"A5_P2_M9_L001","T_cell"
"A5_P3_M9_L001","T_cell"
"A5_P5_M9_L001","Myeloid"
"A6_P1_M9_L001","T_cell"
"A6_P2_M9_L001","T_cell"
"A6_P5_M9_L001","T_cell"
"A7_P2_M9_L001","T_cell"
"A7_P5_M9_L001","T_cell"
"A8_P2_M9_L001","T_cell"
"A8_P3_M9_L001","Unassigned (all modules low)"
"A8_P5_M9_L001","T_cell"
"A9_P1_M9_L001","T_cell"
"A9_P2_M9_L001","T_cell"
"A9_P3_M9_L001","Myeloid"
"A9_P5_M9_L001","T_cell"
"B10_P1_M9_L001","T_cell"
"B10_P2_M9_L001","T_cell"
"B10_P3_M9_L001","T_cell"
"B10_P5_M9_L001","T_cell"
"B11_P1_M9_L001","Myeloid"
"B11_P2_M9_L001","T_cell"
"B11_P3_M9_L001","T_cell"
"B11_P5_M9_L001","T_cell"
"B12_P1_M9_L001","T_cell"
"B12_P3_M9_L001","T_cell"
"B12_P5_M9_L001","T_cell"
"B1_P1_M9_L001","T_cell"
"B1_P2_M9_L001","T_cell"
"B1_P3_M9_L001","T_cell"
"B2_P3_M9_L001","T_cell"
"B2_P5_M9_L001","T_cell"
"B3_P5_M9_L001","Myeloid"
"B4_P2_M9_L001","T_cell"
"B4_P3_M9_L001","T_cell"
"B4_P5_M9_L001","T_cell"
"B5_P1_M9_L001","T_cell"
"B5_P2_M9_L001","T_cell"
"B5_P3_M9_L001","T_cell"
"B6_P1_M9_L001","T_cell"
"B6_P3_M9_L001","T_cell"
"B6_P5_M9_L001","T_cell"
"B7_P2_M9_L001","T_cell"
"B7_P5_M9_L001","T_cell"
"B8_P1_M9_L001","T_cell"
"B8_P2_M9_L001","T_cell"
"B8_P3_M9_L001","T_cell"
"B8_P5_M9_L001","T_cell"
"B9_P1_M9_L001","T_cell"
"B9_P2_M9_L001","T_cell"
"B9_P3_M9_L001","T_cell"
"B9_P5_M9_L001","T_cell"
"C10_P1_M9_L001","Myeloid"
"C10_P2_M9_L001","T_cell"
"C10_P3_M9_L001","NK"
"C10_P5_M9_L001","T_cell"
"C11_P1_M9_L001","Myeloid"
"C11_P2_M9_L001","T_cell"
"C11_P5_M9_L001","T_cell"
"C12_P1_M9_L001","T_cell"
"C12_P2_M9_L001","NK"
"C12_P3_M9_L001","T_cell"
"C12_P5_M9_L001","T_cell"
"C1_P2_M9_L001","NK"
"C1_P3_M9_L001","T_cell"
"C1_P5_M9_L001","T_cell"
"C2_P1_M9_L001","NK"
"C2_P3_M9_L001","T_cell"
"C2_P5_M9_L001","T_cell"
"C3_P1_M9_L001","T_cell"
"C3_P2_M9_L001","T_cell"
"C3_P3_M9_L001","T_cell"
"C3_P5_M9_L001","T_cell"
"C4_P2_M9_L001","T_cell"
"C4_P3_M9_L001","T_cell"
"C4_P5_M9_L001","T_cell"
"C5_P1_M9_L001","Myeloid"
"C5_P2_M9_L001","Unassigned (all modules low)"
"C5_P3_M9_L001","T_cell"
"C6_P1_M9_L001","T_cell"
"C6_P2_M9_L001","B_cell"
"C6_P3_M9_L001","Myeloid"
"C7_P3_M9_L001","T_cell"
"C7_P5_M9_L001","T_cell"
"C8_P1_M9_L001","T_cell"
"C8_P2_M9_L001","T_cell"
"C8_P3_M9_L001","T_cell"
"C8_P5_M9_L001","T_cell"
"C9_P1_M9_L001","Myeloid"
"C9_P2_M9_L001","Myeloid"
"C9_P3_M9_L001","NK"
"C9_P5_M9_L001","T_cell"
"D10_P1_M9_L001","T_cell"
"D10_P2_M9_L001","NK"
"D10_P3_M9_L001","Myeloid"
"D10_P5_M9_L001","T_cell"
"D11_P1_M9_L001","T_cell"
"D11_P2_M9_L001","T_cell"
"D11_P3_M9_L001","T_cell"
"D11_P5_M9_L001","T_cell"
"D12_P1_M9_L001","Myeloid"
"D12_P2_M9_L001","T_cell"
"D12_P3_M9_L001","T_cell"
"D12_P5_M9_L001","T_cell"
"D1_P1_M9_L001","Myeloid"
"D1_P2_M9_L001","NK"
"D1_P3_M9_L001","T_cell"
"D2_P1_M9_L001","T_cell"
"D2_P2_M9_L001","Myeloid"
"D2_P3_M9_L001","NK"
"D2_P5_M9_L001","Unassigned (all modules low)"
"D3_P2_M9_L001","Myeloid"
"D3_P5_M9_L001","T_cell"
"D4_P1_M9_L001","T_cell"
"D4_P2_M9_L001","T_cell"
"D4_P3_M9_L001","T_cell"
"D5_P1_M9_L001","Myeloid"
"D5_P2_M9_L001","NK"
"D5_P3_M9_L001","NK"
"D5_P5_M9_L001","Unassigned (all modules low)"
"D6_P2_M9_L001","T_cell"
"D6_P3_M9_L001","Myeloid"
"D6_P5_M9_L001","T_cell"
"D7_P1_M9_L001","Myeloid"
"D7_P2_M9_L001","B_cell"
"D8_P1_M9_L001","Myeloid"
"D8_P3_M9_L001","NK"
"D8_P5_M9_L001","T_cell"
"D9_P1_M9_L001","T_cell"
"D9_P2_M9_L001","T_cell"
"D9_P5_M9_L001","NK"
"E10_P1_M9_L001","T_cell"
"E10_P2_M9_L001","T_cell"
"E10_P3_M9_L001","T_cell"
"E10_P5_M9_L001","B_cell"
"E11_P1_M9_L001","Myeloid"
"E11_P2_M9_L001","T_cell"
"E11_P3_M9_L001","Myeloid"
"E11_P5_M9_L001","T_cell"
"E12_P1_M9_L001","NK"
"E12_P2_M9_L001","T_cell"
"E12_P3_M9_L001","T_cell"
"E12_P5_M9_L001","Myeloid"
"E1_P3_M9_L001","T_cell"
"E1_P5_M9_L001","T_cell"
"E2_P1_M9_L001","Myeloid"
"E2_P3_M9_L001","T_cell"
"E2_P5_M9_L001","T_cell"
"E3_P1_M9_L001","T_cell"
"E3_P2_M9_L001","T_cell"
"E3_P3_M9_L001","T_cell"
"E3_P5_M9_L001","T_cell"
"E4_P1_M9_L001","T_cell"
"E4_P2_M9_L001","T_cell"
"E4_P5_M9_L001","T_cell"
"E5_P1_M9_L001","T_cell"
"E5_P2_M9_L001","T_cell"
"E5_P3_M9_L001","Myeloid"
"E6_P1_M9_L001","T_cell"
"E6_P2_M9_L001","T_cell"
"E6_P5_M9_L001","T_cell"
"E7_P1_M9_L001","T_cell"
"E7_P2_M9_L001","T_cell"
"E7_P5_M9_L001","T_cell"
"E8_P3_M9_L001","T_cell"
"E8_P5_M9_L001","T_cell"
"E9_P1_M9_L001","T_cell"
"E9_P5_M9_L001","Myeloid"
"F10_P1_M9_L001","T_cell"
"F10_P2_M9_L001","T_cell"
"F10_P3_M9_L001","Myeloid"
"F10_P5_M9_L001","NK"
"F11_P1_M9_L001","T_cell"
"F11_P2_M9_L001","NK"
"F11_P3_M9_L001","NK"
"F12_P2_M9_L001","T_cell"
"F12_P3_M9_L001","T_cell"
"F12_P5_M9_L001","T_cell"
"F1_P1_M9_L001","T_cell"
"F1_P3_M9_L001","T_cell"
"F1_P5_M9_L001","T_cell"
"F2_P1_M9_L001","T_cell"
"F2_P2_M9_L001","NK"
"F2_P3_M9_L001","NK"
"F2_P5_M9_L001","NK"
"F3_P1_M9_L001","NK"
"F3_P2_M9_L001","NK"
"F3_P3_M9_L001","Myeloid"
"F3_P5_M9_L001","T_cell"
"F4_P1_M9_L001","Myeloid"
"F4_P2_M9_L001","T_cell"
"F4_P3_M9_L001","T_cell"
"F5_P1_M9_L001","T_cell"
"F5_P2_M9_L001","T_cell"
"F5_P3_M9_L001","T_cell"
"F5_P5_M9_L001","NK"
"F6_P1_M9_L001","T_cell"
"F6_P2_M9_L001","T_cell"
"F6_P3_M9_L001","T_cell"
"F6_P5_M9_L001","T_cell"
"F7_P1_M9_L001","T_cell"
"F7_P2_M9_L001","T_cell"
"F7_P5_M9_L001","NK"
"F8_P3_M9_L001","T_cell"
"F8_P5_M9_L001","T_cell"
"F9_P1_M9_L001","Myeloid"
"F9_P3_M9_L001","NK"
"F9_P5_M9_L001","T_cell"
"G10_P1_M9_L001","T_cell"
"G10_P2_M9_L001","T_cell"
"G10_P3_M9_L001","T_cell"
"G10_P5_M9_L001","NK"
"G11_P1_M9_L001","T_cell"
"G11_P2_M9_L001","T_cell"
"G11_P3_M9_L001","Unassigned (all modules low)"
"G11_P5_M9_L001","T_cell"
"G12_P2_M9_L001","T_cell"
"G12_P3_M9_L001","T_cell"
"G12_P5_M9_L001","T_cell"
"G1_P1_M9_L001","T_cell"
"G1_P2_M9_L001","T_cell"
"G1_P3_M9_L001","T_cell"
"G1_P5_M9_L001","NK"
"G2_P1_M9_L001","T_cell"
"G2_P2_M9_L001","T_cell"
"G2_P5_M9_L001","Myeloid"
"G3_P1_M9_L001","T_cell"
"G3_P2_M9_L001","T_cell"
"G4_P1_M9_L001","T_cell"
"G4_P2_M9_L001","T_cell"
"G4_P3_M9_L001","T_cell"
"G5_P1_M9_L001","T_cell"
"G5_P2_M9_L001","T_cell"
"G5_P5_M9_L001","T_cell"
"G6_P3_M9_L001","T_cell"
"G6_P5_M9_L001","T_cell"
"G7_P1_M9_L001","Myeloid"
"G7_P2_M9_L001","T_cell"
"G7_P3_M9_L001","T_cell"
"G7_P5_M9_L001","T_cell"
"G8_P5_M9_L001","NK"
"G9_P1_M9_L001","T_cell"
"G9_P2_M9_L001","NK"
"G9_P3_M9_L001","T_cell"
"G9_P5_M9_L001","T_cell"
"H10_P1_M9_L001","T_cell"
"H10_P2_M9_L001","T_cell"
"H10_P3_M9_L001","T_cell"
"H10_P5_M9_L001","NK"
"H11_P1_M9_L001","T_cell"
"H11_P2_M9_L001","T_cell"
"H11_P3_M9_L001","T_cell"
"H11_P5_M9_L001","Myeloid"
"H12_P1_M9_L001","T_cell"
"H12_P2_M9_L001","T_cell"
"H12_P3_M9_L001","T_cell"
"H12_P5_M9_L001","T_cell"
"H1_P1_M9_L001","T_cell"
"H1_P2_M9_L001","T_cell"
"H1_P5_M9_L001","Myeloid"
"H2_P1_M9_L001","Myeloid"
"H2_P2_M9_L001","T_cell"
"H2_P3_M9_L001","T_cell"
"H2_P5_M9_L001","T_cell"
"H3_P1_M9_L001","T_cell"
"H3_P2_M9_L001","NK"
"H3_P3_M9_L001","T_cell"
"H3_P5_M9_L001","T_cell"
"H4_P1_M9_L001","T_cell"
"H4_P2_M9_L001","T_cell"
"H4_P3_M9_L001","T_cell"
"H4_P5_M9_L001","T_cell"
"H5_P1_M9_L001","T_cell"
"H5_P2_M9_L001","T_cell"
"H5_P3_M9_L001","NK"
"H6_P1_M9_L001","NK"
"H6_P2_M9_L001","T_cell"
"H6_P3_M9_L001","T_cell"
"H6_P5_M9_L001","NK"
"H7_P1_M9_L001","Unassigned (all modules low)"
"H7_P2_M9_L001","T_cell"
"H7_P3_M9_L001","Unassigned (all modules low)"
"H7_P5_M9_L001","T_cell"
"H8_P1_M9_L001","T_cell"
"H8_P2_M9_L001","NK"
"H8_P3_M9_L001","T_cell"
"H8_P5_M9_L001","NK"
"H9_P2_M9_L001","T_cell"
"H9_P3_M9_L001","T_cell"
"H9_P5_M9_L001","T_cell"
"A10_P2_M13_L001","T_cell"
"A10_P3_M13_L001","Myeloid"
"A10_P4_M13_L001","T_cell"
"A11_P2_M13_L001","Unassigned (all modules low)"
"A11_P3_M13_L001","T_cell"
"A11_P4_M13_L001","T_cell"
"A11_P5_M13_L001","T_cell"
"A12_P2_M13_L001","T_cell"
"A12_P5_M13_L001","Myeloid"
"A2_P2_M13_L001","T_cell"
"A2_P3_M13_L001","T_cell"
"A2_P5_M13_L001","NK"
"A3_P2_M13_L001","T_cell"
"A3_P3_M13_L001","NK"
"A3_P4_M13_L001","T_cell"
"A3_P5_M13_L001","T_cell"
"A4_P2_M13_L001","T_cell"
"A4_P3_M13_L001","T_cell"
"A4_P4_M13_L001","Myeloid"
"A4_P5_M13_L001","T_cell"
"A5_P2_M13_L001","T_cell"
"A5_P3_M13_L001","T_cell"
"A5_P4_M13_L001","T_cell"
"A5_P5_M13_L001","T_cell"
"A6_P2_M13_L001","T_cell"
"A6_P3_M13_L001","T_cell"
"A6_P4_M13_L001","T_cell"
"A6_P5_M13_L001","T_cell"
"A7_P2_M13_L001","T_cell"
"A7_P3_M13_L001","NK"
"A8_P2_M13_L001","NK"
"A8_P3_M13_L001","T_cell"
"A8_P4_M13_L001","Myeloid"
"A8_P5_M13_L001","T_cell"
"A9_P3_M13_L001","NK"
"A9_P4_M13_L001","T_cell"
"A9_P5_M13_L001","Myeloid"
"B10_P2_M13_L001","T_cell"
"B10_P3_M13_L001","T_cell"
"B10_P5_M13_L001","T_cell"
"B11_P2_M13_L001","T_cell"
"B11_P3_M13_L001","T_cell"
"B11_P4_M13_L001","T_cell"
"B11_P5_M13_L001","T_cell"
"B12_P2_M13_L001","T_cell"
"B12_P4_M13_L001","T_cell"
"B12_P5_M13_L001","T_cell"
"B1_P3_M13_L001","T_cell"
"B1_P5_M13_L001","T_cell"
"B2_P2_M13_L001","T_cell"
"B2_P4_M13_L001","NK"
"B2_P5_M13_L001","T_cell"
"B3_P2_M13_L001","T_cell"
"B3_P3_M13_L001","B_cell"
"B3_P4_M13_L001","Myeloid"
"B3_P5_M13_L001","T_cell"
"B4_P2_M13_L001","T_cell"
"B4_P4_M13_L001","T_cell"
"B4_P5_M13_L001","T_cell"
"B5_P2_M13_L001","T_cell"
"B5_P3_M13_L001","T_cell"
"B5_P5_M13_L001","T_cell"
"B6_P2_M13_L001","T_cell"
"B6_P3_M13_L001","NK"
"B6_P4_M13_L001","B_cell"
"B6_P5_M13_L001","T_cell"
"B7_P2_M13_L001","T_cell"
"B7_P5_M13_L001","T_cell"
"B8_P2_M13_L001","T_cell"
"B8_P3_M13_L001","NK"
"B8_P5_M13_L001","T_cell"
"B9_P3_M13_L001","T_cell"
"B9_P4_M13_L001","T_cell"
"C10_P2_M13_L001","T_cell"
"C10_P4_M13_L001","NK"
"C10_P5_M13_L001","T_cell"
"C11_P2_M13_L001","T_cell"
"C11_P3_M13_L001","T_cell"
"C11_P4_M13_L001","T_cell"
"C11_P5_M13_L001","T_cell"
"C12_P2_M13_L001","T_cell"
"C12_P3_M13_L001","T_cell"
"C12_P4_M13_L001","T_cell"
"C1_P2_M13_L001","T_cell"
"C1_P3_M13_L001","T_cell"
"C1_P4_M13_L001","T_cell"
"C1_P5_M13_L001","T_cell"
"C2_P3_M13_L001","T_cell"
"C2_P4_M13_L001","Myeloid"
"C2_P5_M13_L001","T_cell"
"C3_P2_M13_L001","NK"
"C3_P3_M13_L001","NK"
"C3_P4_M13_L001","T_cell"
"C3_P5_M13_L001","Myeloid"
"C4_P2_M13_L001","T_cell"
"C4_P3_M13_L001","T_cell"
"C5_P2_M13_L001","T_cell"
"C5_P3_M13_L001","T_cell"
"C5_P4_M13_L001","T_cell"
"C5_P5_M13_L001","T_cell"
"C6_P3_M13_L001","T_cell"
"C6_P4_M13_L001","T_cell"
"C6_P5_M13_L001","NK"
"C7_P3_M13_L001","T_cell"
"C8_P2_M13_L001","T_cell"
"C8_P4_M13_L001","T_cell"
"C9_P2_M13_L001","B_cell"
"C9_P3_M13_L001","T_cell"
"C9_P5_M13_L001","T_cell"
"D10_P2_M13_L001","T_cell"
"D10_P3_M13_L001","T_cell"
"D10_P4_M13_L001","T_cell"
"D10_P5_M13_L001","T_cell"
"D11_P2_M13_L001","T_cell"
"D11_P3_M13_L001","T_cell"
"D11_P4_M13_L001","T_cell"
"D11_P5_M13_L001","NK"
"D12_P2_M13_L001","NK"
"D12_P3_M13_L001","T_cell"
"D12_P4_M13_L001","T_cell"
"D1_P2_M13_L001","Myeloid"
"D1_P3_M13_L001","T_cell"
"D1_P5_M13_L001","T_cell"
"D2_P3_M13_L001","T_cell"
"D2_P4_M13_L001","T_cell"
"D3_P2_M13_L001","NK"
"D3_P3_M13_L001","T_cell"
"D3_P4_M13_L001","T_cell"
"D3_P5_M13_L001","T_cell"
"D4_P2_M13_L001","T_cell"
"D4_P3_M13_L001","T_cell"
"D5_P3_M13_L001","T_cell"
"D5_P4_M13_L001","T_cell"
"D6_P4_M13_L001","T_cell"
"D6_P5_M13_L001","T_cell"
"D7_P3_M13_L001","T_cell"
"D7_P5_M13_L001","T_cell"
"D8_P2_M13_L001","T_cell"
"D8_P3_M13_L001","NK"
"D8_P4_M13_L001","T_cell"
"D9_P2_M13_L001","NK"
"D9_P3_M13_L001","T_cell"
"D9_P4_M13_L001","T_cell"
"D9_P5_M13_L001","T_cell"
"E10_P2_M13_L001","Myeloid"
"E10_P3_M13_L001","T_cell"
"E10_P4_M13_L001","Myeloid"
"E10_P5_M13_L001","NK"
"E11_P2_M13_L001","T_cell"
"E11_P3_M13_L001","T_cell"
"E12_P2_M13_L001","T_cell"
"E12_P3_M13_L001","T_cell"
"E12_P4_M13_L001","NK"
"E1_P2_M13_L001","NK"
"E1_P3_M13_L001","T_cell"
"E1_P4_M13_L001","T_cell"
"E1_P5_M13_L001","T_cell"
"E2_P3_M13_L001","T_cell"
"E2_P4_M13_L001","T_cell"
"E2_P5_M13_L001","T_cell"
"E3_P2_M13_L001","Myeloid"
"E3_P3_M13_L001","T_cell"
"E3_P4_M13_L001","NK"
"E3_P5_M13_L001","T_cell"
"E4_P3_M13_L001","NK"
"E4_P4_M13_L001","NK"
"E4_P5_M13_L001","T_cell"
"E5_P2_M13_L001","T_cell"
"E5_P3_M13_L001","T_cell"
"E5_P4_M13_L001","T_cell"
"E5_P5_M13_L001","T_cell"
"E6_P2_M13_L001","T_cell"
"E6_P4_M13_L001","T_cell"
"E6_P5_M13_L001","Myeloid"
"E7_P2_M13_L001","Unassigned (all modules low)"
"E7_P3_M13_L001","NK"
"E7_P4_M13_L001","T_cell"
"E7_P5_M13_L001","T_cell"
"E8_P2_M13_L001","T_cell"
"E8_P3_M13_L001","T_cell"
"E8_P4_M13_L001","T_cell"
"E8_P5_M13_L001","Myeloid"
"E9_P2_M13_L001","T_cell"
"E9_P3_M13_L001","NK"
"E9_P5_M13_L001","T_cell"
"F10_P2_M13_L001","T_cell"
"F10_P3_M13_L001","Myeloid"
"F10_P4_M13_L001","T_cell"
"F11_P2_M13_L001","T_cell"
"F11_P3_M13_L001","T_cell"
"F11_P4_M13_L001","Myeloid"
"F11_P5_M13_L001","T_cell"
"F12_P2_M13_L001","T_cell"
"F12_P3_M13_L001","T_cell"
"F12_P5_M13_L001","NK"
"F1_P2_M13_L001","Myeloid"
"F1_P3_M13_L001","T_cell"
"F1_P4_M13_L001","T_cell"
"F2_P2_M13_L001","T_cell"
"F2_P4_M13_L001","Myeloid"
"F2_P5_M13_L001","NK"
"F3_P3_M13_L001","T_cell"
"F3_P4_M13_L001","T_cell"
"F3_P5_M13_L001","T_cell"
"F4_P2_M13_L001","T_cell"
"F4_P3_M13_L001","T_cell"
"F4_P4_M13_L001","NK"
"F4_P5_M13_L001","T_cell"
"F5_P2_M13_L001","T_cell"
"F5_P4_M13_L001","Myeloid"
"F5_P5_M13_L001","T_cell"
"F6_P2_M13_L001","T_cell"
"F6_P3_M13_L001","T_cell"
"F6_P5_M13_L001","NK"
"F7_P2_M13_L001","T_cell"
"F7_P3_M13_L001","T_cell"
"F7_P4_M13_L001","T_cell"
"F7_P5_M13_L001","T_cell"
"F8_P2_M13_L001","NK"
"F8_P3_M13_L001","T_cell"
"F8_P4_M13_L001","NK"
"F8_P5_M13_L001","Myeloid"
"F9_P2_M13_L001","T_cell"
"F9_P3_M13_L001","Myeloid"
"F9_P4_M13_L001","NK"
"G10_P2_M13_L001","T_cell"
"G10_P3_M13_L001","T_cell"
"G10_P5_M13_L001","T_cell"
"G11_P2_M13_L001","T_cell"
"G11_P3_M13_L001","T_cell"
"G11_P4_M13_L001","Myeloid"
"G11_P5_M13_L001","B_cell"
"G12_P2_M13_L001","T_cell"
"G12_P3_M13_L001","T_cell"
"G12_P4_M13_L001","T_cell"
"G12_P5_M13_L001","T_cell"
"G1_P2_M13_L001","T_cell"
"G1_P3_M13_L001","T_cell"
"G1_P5_M13_L001","T_cell"
"G2_P2_M13_L001","Myeloid"
"G2_P3_M13_L001","Myeloid"
"G2_P4_M13_L001","T_cell"
"G3_P2_M13_L001","Myeloid"
"G3_P3_M13_L001","T_cell"
"G3_P4_M13_L001","T_cell"
"G3_P5_M13_L001","T_cell"
"G4_P2_M13_L001","Myeloid"
"G4_P3_M13_L001","T_cell"
"G4_P4_M13_L001","T_cell"
"G4_P5_M13_L001","T_cell"
"G5_P2_M13_L001","T_cell"
"G5_P3_M13_L001","NK"
"G5_P4_M13_L001","T_cell"
"G6_P2_M13_L001","T_cell"
"G6_P4_M13_L001","T_cell"
"G6_P5_M13_L001","T_cell"
"G7_P2_M13_L001","T_cell"
"G7_P3_M13_L001","T_cell"
"G7_P4_M13_L001","T_cell"
"G8_P2_M13_L001","NK"
"G8_P3_M13_L001","T_cell"
"G8_P4_M13_L001","T_cell"
"G9_P2_M13_L001","B_cell"
"G9_P3_M13_L001","Myeloid"
"G9_P4_M13_L001","T_cell"
"H10_P3_M13_L001","T_cell"
"H10_P4_M13_L001","T_cell"
"H10_P5_M13_L001","T_cell"
"H11_P2_M13_L001","T_cell"
"H11_P3_M13_L001","Myeloid"
"H11_P5_M13_L001","Myeloid"
"H12_P2_M13_L001","T_cell"
"H12_P3_M13_L001","Myeloid"
"H12_P4_M13_L001","T_cell"
"H12_P5_M13_L001","T_cell"
"H1_P2_M13_L001","NK"
"H1_P3_M13_L001","T_cell"
"H1_P4_M13_L001","T_cell"
"H1_P5_M13_L001","T_cell"
"H2_P3_M13_L001","T_cell"
"H2_P4_M13_L001","T_cell"
"H3_P2_M13_L001","NK"
"H3_P3_M13_L001","NK"
"H3_P4_M13_L001","T_cell"
"H3_P5_M13_L001","T_cell"
"H4_P3_M13_L001","T_cell"
"H4_P4_M13_L001","T_cell"
"H4_P5_M13_L001","NK"
"H5_P2_M13_L001","T_cell"
"H5_P3_M13_L001","B_cell"
"H5_P5_M13_L001","T_cell"
"H6_P2_M13_L001","Myeloid"
"H6_P3_M13_L001","T_cell"
"H6_P4_M13_L001","T_cell"
"H6_P5_M13_L001","T_cell"
"H7_P2_M13_L001","T_cell"
"H7_P3_M13_L001","T_cell"
"H7_P5_M13_L001","T_cell"
"H8_P2_M13_L001","T_cell"
"H8_P4_M13_L001","T_cell"
"H8_P5_M13_L001","T_cell"
"H9_P2_M13_L001","T_cell"
"H9_P3_M13_L001","Myeloid"
"H9_P5_M13_L001","T_cell"
"A10_P1_MMD8_L001","T_cell"
"A10_P2_MMD8_L001","T_cell"
"A10_P4_MMD8_L001","T_cell"
"A10_P5_MMD8_L001","Myeloid"
"A11_P1_MMD8_L001","B_cell"
"A11_P2_MMD8_L001","T_cell"
"A11_P4_MMD8_L001","T_cell"
"A11_P5_MMD8_L001","T_cell"
"A12_P1_MMD8_L001","NK"
"A12_P2_MMD8_L001","T_cell"
"A12_P4_MMD8_L001","NK"
"A12_P5_MMD8_L001","NK"
"A2_P1_MMD8_L001","T_cell"
"A2_P2_MMD8_L001","T_cell"
"A2_P4_MMD8_L001","Myeloid"
"A2_P5_MMD8_L001","NK"
"A3_P1_MMD8_L001","T_cell"
"A3_P2_MMD8_L001","B_cell"
"A3_P4_MMD8_L001","T_cell"
"A3_P5_MMD8_L001","Myeloid"
"A4_P1_MMD8_L001","T_cell"
"A4_P2_MMD8_L001","B_cell"
"A4_P4_MMD8_L001","Myeloid"
"A4_P5_MMD8_L001","T_cell"
"A5_P1_MMD8_L001","T_cell"
"A5_P2_MMD8_L001","Myeloid"
"A5_P4_MMD8_L001","Myeloid"
"A5_P5_MMD8_L001","T_cell"
"A6_P1_MMD8_L001","T_cell"
"A6_P4_MMD8_L001","T_cell"
"A6_P5_MMD8_L001","T_cell"
"A7_P1_MMD8_L001","NK"
"A7_P2_MMD8_L001","T_cell"
"A7_P4_MMD8_L001","T_cell"
"A7_P5_MMD8_L001","T_cell"
"A8_P1_MMD8_L001","NK"
"A8_P2_MMD8_L001","T_cell"
"A8_P4_MMD8_L001","T_cell"
"A8_P5_MMD8_L001","NK"
"A9_P1_MMD8_L001","T_cell"
"A9_P2_MMD8_L001","Myeloid"
"A9_P4_MMD8_L001","T_cell"
"A9_P5_MMD8_L001","T_cell"
"B10_P1_MMD8_L001","Unassigned (all modules low)"
"B10_P2_MMD8_L001","T_cell"
"B10_P4_MMD8_L001","T_cell"
"B10_P5_MMD8_L001","B_cell"
"B11_P1_MMD8_L001","T_cell"
"B11_P2_MMD8_L001","T_cell"
"B11_P4_MMD8_L001","T_cell"
"B11_P5_MMD8_L001","T_cell"
"B12_P1_MMD8_L001","T_cell"
"B12_P2_MMD8_L001","Myeloid"
"B12_P4_MMD8_L001","NK"
"B12_P5_MMD8_L001","T_cell"
"B1_P1_MMD8_L001","T_cell"
"B1_P2_MMD8_L001","T_cell"
"B1_P4_MMD8_L001","T_cell"
"B1_P5_MMD8_L001","T_cell"
"B2_P1_MMD8_L001","T_cell"
"B2_P2_MMD8_L001","T_cell"
"B2_P4_MMD8_L001","T_cell"
"B2_P5_MMD8_L001","T_cell"
"B3_P1_MMD8_L001","T_cell"
"B3_P2_MMD8_L001","NK"
"B3_P4_MMD8_L001","T_cell"
"B3_P5_MMD8_L001","T_cell"
"B4_P1_MMD8_L001","T_cell"
"B4_P2_MMD8_L001","NK"
"B4_P4_MMD8_L001","Myeloid"
"B4_P5_MMD8_L001","Myeloid"
"B5_P1_MMD8_L001","T_cell"
"B5_P2_MMD8_L001","T_cell"
"B5_P4_MMD8_L001","T_cell"
"B5_P5_MMD8_L001","Myeloid"
"B6_P2_MMD8_L001","B_cell"
"B6_P4_MMD8_L001","T_cell"
"B6_P5_MMD8_L001","T_cell"
"B7_P1_MMD8_L001","T_cell"
"B7_P2_MMD8_L001","T_cell"
"B7_P4_MMD8_L001","Myeloid"
"B7_P5_MMD8_L001","T_cell"
"B8_P1_MMD8_L001","Unassigned (all modules low)"
"B8_P2_MMD8_L001","T_cell"
"B8_P4_MMD8_L001","Myeloid"
"B8_P5_MMD8_L001","T_cell"
"B9_P1_MMD8_L001","T_cell"
"B9_P2_MMD8_L001","T_cell"
"B9_P4_MMD8_L001","NK"
"B9_P5_MMD8_L001","T_cell"
"C10_P1_MMD8_L001","T_cell"
"C10_P2_MMD8_L001","Myeloid"
